"","id","book","book_num","chapter","chapter_num","character","full_text","character_lines","writer","director","imdb_rating"
"1",1,"Water",1,"The Boy in the Iceberg",1,"Katara","Water. Earth. Fire. Air. My grandmother used to tell me stories about the old days: a time of peace when the Avatar kept balance between the Water Tribes, Earth Kingdom, Fire Nation and Air Nomads. But that all changed when the Fire Nation attacked. Only the Avatar mastered all four elements; only he could stop the ruthless firebenders. But when the world needed him most, he vanished. A hundred years have passed, and the Fire Nation is nearing victory in the war. Two years ago, my father and the men of my tribe journeyed to the Earth Kingdom to help fight against the Fire Nation, leaving me and my brother to look after our tribe. Some people believe that the Avatar was never reborn into the Air Nomads and that the cycle is broken, but I haven't lost hope. I still believe that, somehow, the Avatar will return to save the world.","Water. Earth. Fire. Air. My grandmother used to tell me stories about the old days: a time of peace when the Avatar kept balance between the Water Tribes, Earth Kingdom, Fire Nation and Air Nomads. But that all changed when the Fire Nation attacked. Only the Avatar mastered all four elements; only he could stop the ruthless firebenders. But when the world needed him most, he vanished. A hundred years have passed, and the Fire Nation is nearing victory in the war. Two years ago, my father and the men of my tribe journeyed to the Earth Kingdom to help fight against the Fire Nation, leaving me and my brother to look after our tribe. Some people believe that the Avatar was never reborn into the Air Nomads and that the cycle is broken, but I haven't lost hope. I still believe that, somehow, the Avatar will return to save the world.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"2",2,"Water",1,"The Boy in the Iceberg",1,"Scene Description","As the title card fades, the scene opens onto a shot of an icy sea before panning slowly to the left, revealing more towering icebergs drifting in the water as the shot rotates, moving over a large snow-covered area where the untouched blanket of snow is broken by two tracks of footsteps. The shot fades to another shot of the sea and of icebergs in blue water contrasted by the paleness of the sky beyond. As the shot once again pans to the left and rotates likewise, a small canoe comes into view, its motion through the water indicated by the wake left behind it. The shot zooms slightly on the canoe before cutting down to it, providing a side angle of the canoe and of the walls of ice rising on either side of the vessel. Two people, a boy and a girl, are sitting in the boat; the boy holds a spear at the ready, while the girl simply stares into the water on the other side of the boat. The shot cuts to an overhead view, revealing that a fish is swimming close to the surface right in front of the boy, who is focused on it, following its every movement. Cut to a frontal view of him.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"3",3,"Water",1,"The Boy in the Iceberg",1,"Sokka","It's not getting away from me this time. [Close-up of the boy as he grins confidently over his shoulder in the direction of the girl.] Watch and learn, Katara. This is how you catch a fish.","It's not getting away from me this time.  Watch and learn, Katara. This is how you catch a fish.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"4",4,"Water",1,"The Boy in the Iceberg",1,"Scene Description","The shot pans quickly from the boy to Katara, who seems indifferent to his claim and turns back to her side of the boat again. Her expression changes to surprise; as the shot jumps behind her, looking down into the water over her shoulder, another fish quickly swims by her, close to where she sits. She shoots a quick glance toward her brother, removing the glove from her left hand. She stretches her arm out in the direction of the fish, taking a deep breath. Her look is a mixture of concentration and apprehension as she starts making a wavy motion with her wrist, moving her hand up and down.
The shot widens out; Sokka, still focused wholly on the fish in front of him, is completely unaware of what is happening behind his back. As Katara continues to move her hand, the water in front of Katara, just in front of the shot, starts to ripple. Suddenly, a bubble of water rises up from the ocean containing the newly trapped fish.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"5",5,"Water",1,"The Boy in the Iceberg",1,"Katara","[Happily surprised.] Sokka, look!","Sokka, look!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"6",6,"Water",1,"The Boy in the Iceberg",1,"Sokka","[Close-up of Sokka; whispering.] Sshh! Katara, you're going to scare it away. [A look of bliss adorns his face. He licks his lips and wiggles his fingers, not taking his eyes off the fish.] Mmmm ... I can already smell it cookin'.","Sshh! Katara, you're going to scare it away.  Mmmm ... I can already smell it cookin'.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"7",7,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Behind Sokka, Katara is still making circular movements with both her arms, suspending the bubble of water that holds the fish in the air and moving back and forth. The camera cuts to her face, contorted slightly by the focus it takes to control the water.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"8",8,"Water",1,"The Boy in the Iceberg",1,"Katara","[Struggling with the water that passes right in front of her.] But, Sokka! I caught one!","But, Sokka! I caught one!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"9",9,"Water",1,"The Boy in the Iceberg",1,"Scene Description","The bubble containing her fish slowly drifts around her to hang over Sokka, who is still oblivious. As the bubble hovers over his head, Sokka raises his spear to strike the fish he was following. He bursts the bubble of water with the blunt end of his weapon, causing Katara to lose control of the water; it rains down on Sokka, soaking him.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"10",10,"Water",1,"The Boy in the Iceberg",1,"Katara","[Exclaims indignantly.] Hey!","Hey!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"11",11,"Water",1,"The Boy in the Iceberg",1,"Scene Description","As Sokka lets out a gasp of discomfort, the fish tumbles through the air and Katara follows its arc with her eyes as it flies over her head and splashes back into the sea. Sokka rounds on his sister, placing his spear perpendicular to the rim of the boat as he yells irately. The shot cuts to a close-up of him.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
